=== Image Save Worker started ===
[17:19:47] Step 1 OK: Logging works.
[17:19:47] Step 2: Importing requests...
[17:19:47] Step 2 OK: requests imported.
[17:19:47] Step 3: Importing glob...
[17:19:47] Step 3 OK: glob imported.
[17:19:47] Step 4: Checking paths...
[17:19:47]   STOP_FILE exists:      False
[17:19:47]   NEW_IMAGE_FLAG exists: False
[17:19:47]   IMAGES_FOLDER exists:  True
[17:19:47] Step 4 OK: Folders ready.
[17:19:47] Step 5: Testing server connection...
[17:19:47] Step 5 OK: Server reachable. Status: 200
[17:19:47] Step 6: Entering main loop...
[17:19:47] Loop alive (iteration 520). Flag exists: False
[17:19:48] Loop alive (iteration 860). Flag exists: False
[17:19:48] Loop alive (iteration 160). Flag exists: False
[17:19:49] Loop alive (iteration 20). Flag exists: False
[17:19:50] Loop alive (iteration 540). Flag exists: False
[17:19:50] Loop alive (iteration 880). Flag exists: False
[17:19:50] Loop alive (iteration 180). Flag exists: False
[17:19:51] Loop alive (iteration 40). Flag exists: False
[17:19:52] Loop alive (iteration 560). Flag exists: False
[17:19:52] Loop alive (iteration 900). Flag exists: False
[17:19:53] Loop alive (iteration 200). Flag exists: False
[17:19:53] Loop alive (iteration 60). Flag exists: False
[17:19:54] Loop alive (iteration 580). Flag exists: False
[17:19:54] Loop alive (iteration 920). Flag exists: False
[17:19:55] Loop alive (iteration 220). Flag exists: False
[17:19:56] Loop alive (iteration 80). Flag exists: False
[17:19:56] Loop alive (iteration 600). Flag exists: False
[17:19:57] Loop alive (iteration 940). Flag exists: False
[17:19:57] Loop alive (iteration 240). Flag exists: False
[17:19:58] Loop alive (iteration 100). Flag exists: False
[17:19:58] Loop alive (iteration 620). Flag exists: False
[17:19:59] Loop alive (iteration 960). Flag exists: False
[17:19:59] Loop alive (iteration 260). Flag exists: False
[17:20:00] Loop alive (iteration 120). Flag exists: False
[17:20:01] Loop alive (iteration 640). Flag exists: False
[17:20:01] Loop alive (iteration 980). Flag exists: False
[17:20:01] Loop alive (iteration 280). Flag exists: False
[17:20:02] Loop alive (iteration 140). Flag exists: False
[17:20:03] Loop alive (iteration 660). Flag exists: False
[17:20:03] Loop alive (iteration 1000). Flag exists: False
[17:20:04] Loop alive (iteration 300). Flag exists: False
[17:20:04] Loop alive (iteration 160). Flag exists: False
[17:20:05] Loop alive (iteration 680). Flag exists: False
[17:20:06] Loop alive (iteration 1020). Flag exists: False
[17:20:06] Loop alive (iteration 320). Flag exists: False
[17:20:07] Loop alive (iteration 180). Flag exists: False
[17:20:07] Loop alive (iteration 700). Flag exists: False
[17:20:08] Loop alive (iteration 1040). Flag exists: False
[17:20:08] Loop alive (iteration 340). Flag exists: False
[17:20:09] Loop alive (iteration 200). Flag exists: False
[17:20:09] Loop alive (iteration 720). Flag exists: False
[17:20:10] Loop alive (iteration 1060). Flag exists: False
[17:20:10] Loop alive (iteration 360). Flag exists: False
[17:20:11] Loop alive (iteration 220). Flag exists: False
[17:20:12] Loop alive (iteration 740). Flag exists: False
[17:20:12] Loop alive (iteration 1080). Flag exists: False
[17:20:13] Loop alive (iteration 380). Flag exists: False
[17:20:13] Loop alive (iteration 240). Flag exists: False
[17:20:14] Loop alive (iteration 760). Flag exists: False
[17:20:14] Loop alive (iteration 1100). Flag exists: False
[17:20:15] Loop alive (iteration 400). Flag exists: False
[17:20:16] Loop alive (iteration 260). Flag exists: False
[17:20:16] Loop alive (iteration 780). Flag exists: False
[17:20:17] Loop alive (iteration 1120). Flag exists: False
[17:20:17] Loop alive (iteration 420). Flag exists: False
[17:20:18] Loop alive (iteration 280). Flag exists: False
[17:20:18] Loop alive (iteration 800). Flag exists: False
[17:20:19] Loop alive (iteration 1140). Flag exists: False
[17:20:19] Loop alive (iteration 440). Flag exists: False
[17:20:20] Loop alive (iteration 300). Flag exists: False
[17:20:21] Loop alive (iteration 820). Flag exists: False
[17:20:21] Loop alive (iteration 1160). Flag exists: False
[17:20:21] Loop alive (iteration 460). Flag exists: False
[17:20:22] Loop alive (iteration 320). Flag exists: False
[17:20:23] Loop alive (iteration 840). Flag exists: False
[17:20:23] Loop alive (iteration 1180). Flag exists: False
[17:20:24] Loop alive (iteration 480). Flag exists: False
[17:20:25] Loop alive (iteration 340). Flag exists: False
[17:20:25] Loop alive (iteration 860). Flag exists: False
[17:20:26] Loop alive (iteration 1200). Flag exists: False
[17:20:26] Loop alive (iteration 500). Flag exists: False
[17:20:27] Loop alive (iteration 360). Flag exists: False
[17:20:27] Loop alive (iteration 880). Flag exists: False
[17:20:28] Loop alive (iteration 1220). Flag exists: False
[17:20:28] Loop alive (iteration 520). Flag exists: False
[17:20:29] Loop alive (iteration 380). Flag exists: False
[17:20:30] Loop alive (iteration 900). Flag exists: False
[17:20:30] Loop alive (iteration 1240). Flag exists: False
[17:20:30] Loop alive (iteration 540). Flag exists: False
[17:20:31] Loop alive (iteration 400). Flag exists: False
[17:20:32] Loop alive (iteration 920). Flag exists: False
[17:20:32] Loop alive (iteration 1260). Flag exists: False
[17:20:33] Loop alive (iteration 560). Flag exists: False
[17:20:33] Loop alive (iteration 420). Flag exists: False
[17:20:34] Loop alive (iteration 940). Flag exists: False
[17:20:35] Loop alive (iteration 1280). Flag exists: False
[17:20:35] Loop alive (iteration 580). Flag exists: False
[17:20:36] Loop alive (iteration 440). Flag exists: False
[17:20:36] Loop alive (iteration 960). Flag exists: False
[17:20:37] Loop alive (iteration 1300). Flag exists: False
[17:20:37] Loop alive (iteration 600). Flag exists: False
[17:20:38] Loop alive (iteration 460). Flag exists: False
[17:20:39] Loop alive (iteration 980). Flag exists: False
[17:20:39] Loop alive (iteration 1320). Flag exists: False
[17:20:39] Loop alive (iteration 620). Flag exists: False
[17:20:40] Loop alive (iteration 480). Flag exists: False
[17:20:41] Loop alive (iteration 1000). Flag exists: False
[17:20:41] Loop alive (iteration 1340). Flag exists: False
[17:20:42] Loop alive (iteration 640). Flag exists: False
[17:20:42] Loop alive (iteration 500). Flag exists: False
[17:20:43] Loop alive (iteration 1020). Flag exists: False
[17:20:43] Loop alive (iteration 1360). Flag exists: False
[17:20:44] Loop alive (iteration 660). Flag exists: False
[17:20:45] Loop alive (iteration 520). Flag exists: False
[17:20:45] Loop alive (iteration 1040). Flag exists: False
[17:20:46] Loop alive (iteration 1380). Flag exists: False
[17:20:46] Loop alive (iteration 680). Flag exists: False
[17:20:47] Loop alive (iteration 540). Flag exists: False
[17:20:47] Loop alive (iteration 1060). Flag exists: False
[17:20:48] Loop alive (iteration 1400). Flag exists: False
[17:20:48] Loop alive (iteration 700). Flag exists: False
[17:20:49] Loop alive (iteration 560). Flag exists: False
[17:20:50] Loop alive (iteration 1080). Flag exists: False
[17:20:50] Loop alive (iteration 1420). Flag exists: False
[17:20:50] Loop alive (iteration 720). Flag exists: False
[17:20:51] Loop alive (iteration 580). Flag exists: False
[17:20:52] Loop alive (iteration 1100). Flag exists: False
[17:20:52] Loop alive (iteration 1440). Flag exists: False
[17:20:53] Loop alive (iteration 740). Flag exists: False
[17:20:54] Loop alive (iteration 600). Flag exists: False
[17:20:54] Loop alive (iteration 1120). Flag exists: False
[17:20:55] Loop alive (iteration 1460). Flag exists: False
[17:20:55] Loop alive (iteration 760). Flag exists: False
[17:20:56] Loop alive (iteration 620). Flag exists: False
[17:20:56] Loop alive (iteration 1140). Flag exists: False
[17:20:57] Loop alive (iteration 1480). Flag exists: False
[17:20:57] Loop alive (iteration 780). Flag exists: False
[17:20:58] Loop alive (iteration 640). Flag exists: False
[17:20:59] Loop alive (iteration 1160). Flag exists: False
[17:20:59] Loop alive (iteration 1500). Flag exists: False
[17:20:59] Loop alive (iteration 800). Flag exists: False
[17:21:00] Loop alive (iteration 660). Flag exists: False
[17:21:01] Loop alive (iteration 1180). Flag exists: False
[17:21:01] Loop alive (iteration 1520). Flag exists: False
[17:21:02] Loop alive (iteration 820). Flag exists: False
[17:21:02] Loop alive (iteration 680). Flag exists: False
[17:21:03] Loop alive (iteration 1200). Flag exists: False
[17:21:04] Loop alive (iteration 1540). Flag exists: False
[17:21:04] Loop alive (iteration 840). Flag exists: False
[17:21:05] Loop alive (iteration 700). Flag exists: False
[17:21:05] Loop alive (iteration 1220). Flag exists: False
[17:21:06] Loop alive (iteration 1560). Flag exists: False
[17:21:06] Loop alive (iteration 860). Flag exists: False
[17:21:07] Loop alive (iteration 720). Flag exists: False
[17:21:08] Loop alive (iteration 1240). Flag exists: False
[17:21:08] Loop alive (iteration 1580). Flag exists: False
[17:21:08] Loop alive (iteration 880). Flag exists: False
[17:21:09] Loop alive (iteration 740). Flag exists: False
[17:21:10] Loop alive (iteration 1260). Flag exists: False
[17:21:10] Loop alive (iteration 1600). Flag exists: False
[17:21:11] Loop alive (iteration 900). Flag exists: False
[17:21:11] Loop alive (iteration 760). Flag exists: False
[17:21:12] Loop alive (iteration 1280). Flag exists: False
[17:21:12] Loop alive (iteration 1620). Flag exists: False
[17:21:13] Loop alive (iteration 920). Flag exists: False
[17:21:14] Loop alive (iteration 780). Flag exists: False
[17:21:14] Loop alive (iteration 1300). Flag exists: False
[17:21:15] Loop alive (iteration 1640). Flag exists: False
[17:21:15] Loop alive (iteration 940). Flag exists: False
[17:21:16] Loop alive (iteration 800). Flag exists: False
[17:21:16] Loop alive (iteration 1320). Flag exists: False
[17:21:17] Loop alive (iteration 1660). Flag exists: False
[17:21:17] Loop alive (iteration 960). Flag exists: False
[17:21:18] Loop alive (iteration 820). Flag exists: False
[17:21:19] Loop alive (iteration 1340). Flag exists: False
[17:21:19] Loop alive (iteration 1680). Flag exists: False
[17:21:19] Loop alive (iteration 980). Flag exists: False
[17:21:20] Loop alive (iteration 840). Flag exists: False
[17:21:21] Loop alive (iteration 1360). Flag exists: False
[17:21:21] Loop alive (iteration 1700). Flag exists: False
[17:21:22] Loop alive (iteration 1000). Flag exists: False
[17:21:23] Loop alive (iteration 860). Flag exists: False
[17:21:23] Loop alive (iteration 1380). Flag exists: False
[17:21:24] Loop alive (iteration 1720). Flag exists: False
[17:21:24] Loop alive (iteration 1020). Flag exists: False
[17:21:25] Loop alive (iteration 880). Flag exists: False
[17:21:25] Loop alive (iteration 1400). Flag exists: False
[17:21:26] Loop alive (iteration 1740). Flag exists: False
[17:21:26] Loop alive (iteration 1040). Flag exists: False
[17:21:27] Loop alive (iteration 900). Flag exists: False
[17:21:28] Loop alive (iteration 1420). Flag exists: False
[17:21:28] Loop alive (iteration 1760). Flag exists: False
[17:21:28] Loop alive (iteration 1060). Flag exists: False
[17:21:29] Loop alive (iteration 920). Flag exists: False
[17:21:30] Loop alive (iteration 1440). Flag exists: False
[17:21:30] Loop alive (iteration 1780). Flag exists: False
[17:21:31] Loop alive (iteration 1080). Flag exists: False
[17:21:31] Loop alive (iteration 940). Flag exists: False
[17:21:32] Loop alive (iteration 1460). Flag exists: False
[17:21:33] Loop alive (iteration 1800). Flag exists: False
[17:21:33] Loop alive (iteration 1100). Flag exists: False
[17:21:34] Loop alive (iteration 960). Flag exists: False
[17:21:34] Loop alive (iteration 1480). Flag exists: False
[17:21:35] Loop alive (iteration 1820). Flag exists: False
[17:21:35] Loop alive (iteration 1120). Flag exists: False
[17:21:36] Loop alive (iteration 980). Flag exists: False
[17:21:37] Loop alive (iteration 1500). Flag exists: False
